Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2023-07-11T13:48:46.770Z,EDU,SELL - MARKET,0.3,USD 45.13,USD 12.43,USD,1.0996
2023-07-13T18:17:24.152750Z,,CASH WITHDRAWAL,,,USD -607,USD,1.1230
2023-08-02T08:32:10.249625Z,,CUSTODY FEE,,,USD -0.99,USD,1.0999
2023-08-06T09:15:38.237495Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,USD -0.99,USD,1.1018
2023-08-06T09:15:38.297396Z,GOOGL,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,2,,USD 0,USD,1.1018
2023-08-06T09:15:38.301911Z,INTC,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,6,,USD 0,USD,1.1018
2023-08-06T09:15:38.304764Z,SPCE,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,120,,USD 0,USD,1.1018
2023-08-06T09:15:38.308586Z,TSLA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,1.5,,USD 0,USD,1.1018
2023-08-06T09:15:38.312803Z,RKLB,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,249,,USD 0,USD,1.1018
2023-08-06T09:15:38.317114Z,ON,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,6.07594936,,USD 0,USD,1.1018
2023-08-06T09:15:38.321403Z,IBM,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,8,,USD 0,USD,1.1018
2023-08-06T09:15:38.325755Z,MSFT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,2.44716214,,USD 0,USD,1.1018
